scheme_id,scheme_name,known_fields,not_applicable_fields,not_specified_fields,conditional_fields,source_conflicts,official_source,last_verified,completeness_percentage
SIH26092-049,"MSME Innovative (Incubation, Design and IPR) Scheme",22,6,4,0,0,https://zed.msme.gov.in/,2026-09-01,84.6
SIH26092-050,Micro & Small Enterprises Cluster Development Programme (MSE-CDP),22,6,4,0,0,https://lean.msme.gov.in/,2026-09-01,84.6
SIH26092-051,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),21,6,5,0,0,https://www.cgtmse.in/,2026-09-01,80.8
SIH26092-052,NSFDC Micro Finance Scheme (MFS),28,0,4,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,87.5
SIH26092-053,NSFDC Term Loan,28,0,4,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,87.5
SIH26092-054,NSFDC Aajeevika Micro-Finance Yojana (AMY),28,0,4,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,87.5
SIH26092-055,NSFDC Udyam Nidhi Yojana (UNY),28,0,4,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,87.5
SIH26092-056,NSFDC Educational Loan Scheme (ELS),28,0,4,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,87.5
SIH26092-057,NSFDC Mahila Samriddhi Yojana (MSY),26,0,6,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,81.2
SIH26092-058,NSFDC Green Business Scheme (GBS),26,0,6,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,81.2
SIH26092-059,NSTFDC Adivasi Shiksha Rrinn Yojana (ASRY),26,0,6,0,0,https://nstfdc.tribal.gov.in/,2026-09-01,81.2
SIH26092-060,Credit Enhancement Guarantee Scheme for Scheduled Castes (CEGSSC),18,6,8,0,0,https://www.ifcicegssc.in/,2026-09-01,69.2
SIH26092-061,Pradhan Mantri Van Dhan Yojana (PMVDY),19,6,7,0,0,https://trifed.tribal.gov.in/pradhan-mantri-van-dhan-yojana,2026-09-01,73.1
SIH26092-062,Gramodyog Vikas Yojana (GVY),20,6,6,0,0,https://www.kviconline.gov.in/kvis/gramodyog.jsp,2026-09-01,76.9
SIH26092-063,NSFDC Mahila Kisan Yojana (MKY),27,0,5,0,0,https://pmsuraj.dosje.gov.in/,2026-09-01,84.4
SIH26092-064,NBCFDC Shilp Sampada Scheme,26,0,6,0,0,https://nbcfdc.nic.in/en/term-loan,2026-09-01,81.2
SIH26092-065,PM Young Achievers Scholarship Award Scheme for Vibrant India (PM-YASASVI),20,6,6,0,0,https://scholarships.gov.in/,2026-09-01,76.9
SIH26092-066,Scheme for Residential Education for Students in High Schools in Targeted Areas (SHRESHTA),21,6,5,0,0,https://shreshta.admissions.nic.in/,2026-09-01,80.8
SIH26092-067,NMDFC Virasat Scheme for Craftspersons and Artisans,26,0,6,0,0,https://www.nmdfc.org/,2026-09-01,81.2
SIH26092-068,Divyangjan Swavalamban Yojana (NDFDC),24,0,8,0,0,https://ndfdc.nic.in/,2026-09-01,75.0
SIH26092-069,SAMARTH — Scheme for Capacity Building in Textile Sector,19,6,7,0,0,https://samarth-textiles.gov.in/,2026-09-01,73.1
SIH26092-070,Animal Husbandry Infrastructure Development Fund (AHIDF),22,0,10,0,0,https://ahidf.udyamimitra.in/,2026-09-01,68.8
SIH26092-071,Special Credit Linked Capital Subsidy Scheme for SC/ST (SCLCSS under NSSH),20,6,6,0,0,https://www.scsthub.in/,2026-09-01,76.9
SIH26092-072,NSKFDC Sanitary Marts Scheme,24,0,8,0,0,https://www.nskfdc.nic.in/,2026-09-01,75.0
SIH26092-073,NBCFDC Krishi Sampada Scheme,26,0,6,0,0,https://nbcfdc.nic.in/en/new-swarnima,2026-09-01,81.2
SIH26092-074,Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),18,6,8,0,0,https://tribal.nic.in/ScholarshiP.aspx,2026-09-01,69.2
SIH26092-075,Pradhan Mantri Jan Dhan Yojana (PMJDY),30,0,2,0,0,https://pmjdy.gov.in/,2026-09-01,93.8
SIH26092-076,Pradhan Mantri Suraksha Bima Yojana (PMSBY),24,6,2,0,0,https://jansuraksha.gov.in/Files/PMJJBY/English/Rules.pdf,2026-09-01,92.3
SIH26092-077,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),24,6,2,0,0,https://jansuraksha.gov.in/Files/PMSBY/English/Rules.pdf,2026-09-01,92.3
SIH26092-078,Atal Pension Yojana (APY),24,6,2,0,0,https://www.npscra.nsdl.co.in/scheme-details.php,2026-09-01,92.3
SIH26092-079,ADIP — Scheme of Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances,25,6,1,0,0,https://adip.depwd.gov.in/,2026-09-01,96.2
SIH26092-080,Deendayal Disabled Rehabilitation Scheme (DDRS),24,6,2,0,0,https://disabilityaffairs.gov.in/content/page/ddrs.php,2026-09-01,92.3
SIH26092-081,SIPDA — Scheme for Implementation of Persons with Disabilities Act,24,6,2,0,0,https://disabilityaffairs.gov.in/content/page/sipda.php,2026-09-01,92.3
SIH26092-082,National Means-cum-Merit Scholarship Scheme (NMMSS),25,6,1,0,0,https://scholarships.gov.in/,2026-09-01,96.2
SIH26092-083,Central Sector Interest Subsidy (CSIS) Scheme for Higher Education Loans,31,0,1,0,0,https://www.vidyalakshmi.co.in/,2026-09-01,96.9
SIH26092-084,Coir Vikas Yojana (CVY) — Mahila Coir Yojana & Skill Upgradation,25,6,1,0,0,https://coirboard.gov.in/?page_id=219,2026-09-01,96.2
SIH26092-085,MSME Competitive (LEAN) Scheme,25,6,1,0,0,https://champions.gov.in/,2026-09-01,96.2
SIH26092-086,MSME Trade Enablement and Marketing (TEAM) Scheme on ONDC,25,6,1,0,0,https://team.msme.gov.in/,2026-09-01,96.2
SIH26092-087,Pradhan Mantri Matru Vandana Yojana (PMMVY - Mission Shakti),25,6,1,0,0,https://pmmvy.wcd.gov.in/,2026-09-01,96.2
SIH26092-088,Sukanya Samriddhi Yojana (SSY),24,6,2,0,0,https://www.indiapost.gov.in/Financial/Pages/Content/Post-Office-Saving-Schemes.aspx,2026-09-01,92.3
SIH26092-089,Lakhpati Didi Rural SHG Micro-Enterprise Initiative (DAY-NRLM),32,0,0,0,0,https://nrlm.gov.in/lakhpatididi,2026-09-01,100.0
SIH26092-090,Ayushman Bharat — Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),24,6,2,0,0,https://pmjay.gov.in/,2026-09-01,92.3
