scheme_id,scheme_name,source_url,status,redirect_url,last_checked,verification_status
SIH26092-017,NBCFDC Loan for Artisans and Traditional Occupations,https://texmin.nic.in/schemes/comprehensive-handicrafts-cluster-development-scheme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-018,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),https://nrlm.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-019,Startup India Seed Fund Scheme (SISFS),https://www.startupindia.gov.in/content/sih/en/fund-of-funds-for-startups.html,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-020,Credit Guarantee Scheme for Startups (CGSS),https://www.startupindia.gov.in/content/sih/en/startup-india-seed-fund-scheme.html,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-021,Concessional Credit/Weaver MUDRA Scheme,https://texmin.nic.in/schemes/weaver-mudra-scheme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-022,National Handloom Development Programme (NHDP),https://texmin.nic.in/schemes/national-handloom-development-programme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-023,SFURTI,https://sfurti.msme.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-024,ASPIRE,https://aspire.msme.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-025,Pradhan Mantri Matsya Sampada Yojana (PMMSY),https://pmmsy.dof.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-026,PMMKSSY,https://pmmsy.dof.gov.in/pmmkssy,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-027,NSKFDC Swachhta Udyami Yojana – sanitation equipment/vehicles,https://nskfdc.nic.in/en/swachhta-udyami-yojana,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-028,NSKFDC General Term Loan,https://nskfdc.nic.in/en/general-term-loan,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-029,NSKFDC Micro Credit Finance,https://nskfdc.nic.in/en/micro-credit-finance,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-030,NSKFDC Mahila Samriddhi Yojana,https://nskfdc.nic.in/en/mahila-samriddhi-yojana,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-031,NDFDC Micro Financing Scheme,https://ndfdc.nic.in/micro-financing-scheme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-032,NDFDC Self-Employment Loan,https://ndfdc.nic.in/self-employment-loan,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-033,DAY-NULM SEP – Individual,https://nulm.gov.in/SEP_Individual,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-034,DAY-NULM SEP – Group,https://nulm.gov.in/SEP_Group,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-035,DAY-NRLM Revolving Fund,https://nrlm.gov.in/revolving_fund,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-036,DAY-NRLM Community Investment Fund,https://nrlm.gov.in/community_investment_fund,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-037,Agriculture Infrastructure Fund (AIF),https://agriinfra.dac.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-038,Kisan Credit Card – Fisheries Working Capital,https://dof.gov.in/kcc-fisheries,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-039,PMKSY – Integrated Cold Chain,https://mofpi.gov.in/schemes/pradhan-mantri-kisan-sampada-yojana,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-040,PMKSY – Agro-Processing Cluster,https://mofpi.gov.in/schemes/pradhan-mantri-kisan-sampada-yojana,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-041,Coir Udyami Yojana,https://coirboard.gov.in/?page_id=221,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-042,Mahila Coir Yojana,https://coirboard.gov.in/?page_id=223,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-043,TREAD for Women,https://msme.gov.in/programmes-schemes/trade-related-entrepreneurship-assistance-and-development-tread-scheme-women,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-044,Procurement and Marketing Support Scheme,https://msme.gov.in/programmes-schemes/procurement-and-marketing-support-pms-scheme,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-045,NSIC Raw Material Assistance,https://www.nsic.co.in/Schemes/Raw-Material-Assistance.aspx,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-046,MSME Innovative – Incubation,https://innovative.msme.gov.in/Incubation,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-047,MSME Innovative – Design,https://innovative.msme.gov.in/Design,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-048,MSME Innovative – IPR Facilitation,https://innovative.msme.gov.in/IPR,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-049,"MSME Innovative (Incubation, Design and IPR) Scheme",https://zed.msme.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-050,Micro & Small Enterprises Cluster Development Programme (MSE-CDP),https://lean.msme.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-051,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),https://www.cgtmse.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-052,NSFDC Micro Finance Scheme (MFS),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-053,NSFDC Term Loan,https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-054,NSFDC Aajeevika Micro-Finance Yojana (AMY),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-055,NSFDC Udyam Nidhi Yojana (UNY),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-056,NSFDC Educational Loan Scheme (ELS),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-057,NSFDC Mahila Samriddhi Yojana (MSY),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-058,NSFDC Green Business Scheme (GBS),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-059,NSTFDC Adivasi Shiksha Rrinn Yojana (ASRY),https://nstfdc.tribal.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-060,Credit Enhancement Guarantee Scheme for Scheduled Castes (CEGSSC),https://www.ifcicegssc.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-061,Pradhan Mantri Van Dhan Yojana (PMVDY),https://trifed.tribal.gov.in/pradhan-mantri-van-dhan-yojana,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-062,Gramodyog Vikas Yojana (GVY),https://www.kviconline.gov.in/kvis/gramodyog.jsp,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-063,NSFDC Mahila Kisan Yojana (MKY),https://pmsuraj.dosje.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-064,NBCFDC Shilp Sampada Scheme,https://nbcfdc.nic.in/en/term-loan,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-065,PM Young Achievers Scholarship Award Scheme for Vibrant India (PM-YASASVI),https://scholarships.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-066,Scheme for Residential Education for Students in High Schools in Targeted Areas (SHRESHTA),https://shreshta.admissions.nic.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-067,NMDFC Virasat Scheme for Craftspersons and Artisans,https://www.nmdfc.org/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-068,Divyangjan Swavalamban Yojana (NDFDC),https://ndfdc.nic.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-069,SAMARTH — Scheme for Capacity Building in Textile Sector,https://samarth-textiles.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-070,Animal Husbandry Infrastructure Development Fund (AHIDF),https://ahidf.udyamimitra.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-071,Special Credit Linked Capital Subsidy Scheme for SC/ST (SCLCSS under NSSH),https://www.scsthub.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-072,NSKFDC Sanitary Marts Scheme,https://www.nskfdc.nic.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-073,NBCFDC Krishi Sampada Scheme,https://nbcfdc.nic.in/en/new-swarnima,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-074,Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),https://tribal.nic.in/ScholarshiP.aspx,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-075,Pradhan Mantri Jan Dhan Yojana (PMJDY),https://pmjdy.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-076,Pradhan Mantri Suraksha Bima Yojana (PMSBY),https://jansuraksha.gov.in/Files/PMJJBY/English/Rules.pdf,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-077,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),https://jansuraksha.gov.in/Files/PMSBY/English/Rules.pdf,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-078,Atal Pension Yojana (APY),https://www.npscra.nsdl.co.in/scheme-details.php,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-079,ADIP — Scheme of Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances,https://adip.depwd.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-080,Deendayal Disabled Rehabilitation Scheme (DDRS),https://disabilityaffairs.gov.in/content/page/ddrs.php,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-081,SIPDA — Scheme for Implementation of Persons with Disabilities Act,https://disabilityaffairs.gov.in/content/page/sipda.php,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-082,National Means-cum-Merit Scholarship Scheme (NMMSS),https://scholarships.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-083,Central Sector Interest Subsidy (CSIS) Scheme for Higher Education Loans,https://www.vidyalakshmi.co.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-084,Coir Vikas Yojana (CVY) — Mahila Coir Yojana & Skill Upgradation,https://coirboard.gov.in/?page_id=219,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-085,MSME Competitive (LEAN) Scheme,https://champions.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-086,MSME Trade Enablement and Marketing (TEAM) Scheme on ONDC,https://team.msme.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-087,Pradhan Mantri Matru Vandana Yojana (PMMVY - Mission Shakti),https://pmmvy.wcd.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-088,Sukanya Samriddhi Yojana (SSY),https://www.indiapost.gov.in/Financial/Pages/Content/Post-Office-Saving-Schemes.aspx,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-089,Lakhpati Didi Rural SHG Micro-Enterprise Initiative (DAY-NRLM),https://nrlm.gov.in/lakhpatididi,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
SIH26092-090,Ayushman Bharat — Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),https://pmjay.gov.in/,VERIFIED_OFFICIAL_PORTAL,,2026-09-01 04:48:49Z,VERIFIED
