document_id,scheme_id,document_name,requirement_type,condition,applicant_type,source_document,source_page,source_section,active
DOC-076-01,SIH26092-076,Savings Bank Account Passbook,MANDATORY,Active savings account for annual ₹20 auto-debit,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-076-02,SIH26092-076,Aadhaar Card,MANDATORY,Identity proof and DBT linkage,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-077-01,SIH26092-077,Savings Bank Account Passbook,MANDATORY,Active savings account for annual ₹436 premium auto-debit,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-077-02,SIH26092-077,Nominee KYC and Bank Details,MANDATORY,Designation of beneficiary nominee,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-078-01,SIH26092-078,Aadhaar Card,MANDATORY,Primary KYC and subscriber identity,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-078-02,SIH26092-078,Bank / Post Office Account Passbook,MANDATORY,Account for monthly/quarterly contribution auto-debit,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-079-01,SIH26092-079,Disability Certificate / UDID Card,MANDATORY,Certificate indicating >= 40% benchmark disability,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-079-02,SIH26092-079,Income Certificate,MANDATORY,"Proof of family monthly income <= ₹30,000",INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-080-01,SIH26092-080,Disability Certificate / UDID Card,MANDATORY,Proof of disability for special school admission,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-080-02,SIH26092-080,Aadhaar Card,MANDATORY,Student identity proof,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-081-01,SIH26092-081,Institutional DPR and Estimates,MANDATORY,Detailed Project Report vetted by CPWD/PWD for accessibility retrofit,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-082-01,SIH26092-082,Class 8 Marksheet & NMMSS Roll Card,MANDATORY,Proof of passing Class 8 and NMMSS selection merit,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-082-02,SIH26092-082,Income Certificate,MANDATORY,Parental income certificate <= ₹3.5 Lakh from competent revenue authority,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-083-01,SIH26092-083,EWS Income Certificate,MANDATORY,Income certificate issued by designated State Authority certifying parental income <= ₹4.5 Lakh,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-083-02,SIH26092-083,Admission Letter / Fee Structure,MANDATORY,Admission proof in recognized professional/technical higher education institution in India,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-084-01,SIH26092-084,Aadhaar Card,MANDATORY,Artisan identity and address proof,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-084-02,SIH26092-084,Coir Board Skill Training Certificate,CONDITIONAL,Required for Mahila Coir Yojana subsidized ratt procurement,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-085-01,SIH26092-085,Udyam Registration Certificate,MANDATORY,Valid Udyam Registration for manufacturing MSME,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-085-02,SIH26092-085,Enterprise Bank Details & PAN,MANDATORY,Proof of active business account for subsidy reimbursement,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-086-01,SIH26092-086,Udyam Registration Certificate,MANDATORY,Udyam certificate for Micro or Small enterprise,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-086-02,SIH26092-086,Product Specifications & Catalog Data,MANDATORY,Product details for ONDC digital onboarding,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-087-01,SIH26092-087,Mother and Child Protection (MCP) Card,MANDATORY,MCP Card with ANC registration and immunization dates,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-087-02,SIH26092-087,Aadhaar Card of Mother and Husband,MANDATORY,Identity verification and DBT seeding,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-087-03,SIH26092-087,Income / Disadvantaged Category Proof,MANDATORY,e-Shram / Ration Card / PMJAY Card / SC-ST Certificate / Income <= ₹8 Lakh,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-088-01,SIH26092-088,Birth Certificate of Girl Child,MANDATORY,Official municipal / hospital birth certificate certifying age <= 10 years,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-088-02,SIH26092-088,Aadhaar and PAN Card of Parent/Guardian,MANDATORY,KYC of parent/legal guardian operating the account,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-089-01,SIH26092-089,SHG Membership Passbook / Certificate,MANDATORY,Proof of active membership in a recognized rural SHG,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-089-02,SIH26092-089,Micro-Investment Plan (MIP),MANDATORY,Enterprise livelihood plan endorsed by SHG / Village Organization,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-090-01,SIH26092-090,Aadhaar Card,MANDATORY,Primary biometric e-KYC for Ayushman card generation,INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
DOC-090-02,SIH26092-090,Ration Card / NFSA Database Proof,CONDITIONAL,Family linkage proof in SECC / NFSA database (waived for 70+ age),INDIVIDUAL,Official Scheme Guidelines,1,Required Documents,TRUE
