scheme_id,field,old_value,new_value,reason,source_url,source_document,source_page,verification_status
SIH26092-003,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://financialservices.gov.in/stand-india-scheme-supi,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-003,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://financialservices.gov.in/stand-india-scheme-supi,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-004,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmsvanidhi.mohua.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-004,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmsvanidhi.mohua.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-004,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmsvanidhi.mohua.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-004,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmsvanidhi.mohua.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-005,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmvishwakarma.gov.in/Home/FAQ,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-005,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmvishwakarma.gov.in/Home/FAQ,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-005,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmvishwakarma.gov.in/Home/FAQ,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-005,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmvishwakarma.gov.in/Home/FAQ,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-006,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmfme.mofpi.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-006,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmfme.mofpi.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-006,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmfme.mofpi.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-006,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmfme.mofpi.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-007,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://nlm.udyamimitra.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-007,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://nlm.udyamimitra.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-007,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://nlm.udyamimitra.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-007,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://nlm.udyamimitra.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-008,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmdaksh.dosje.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-008,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmdaksh.dosje.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-008,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmdaksh.dosje.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-008,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmdaksh.dosje.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-009,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://dwbdnc.dosje.gov.in/content/seed-scheme,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-009,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://dwbdnc.dosje.gov.in/content/seed-scheme,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-009,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://dwbdnc.dosje.gov.in/content/seed-scheme,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-009,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://dwbdnc.dosje.gov.in/content/seed-scheme,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-010,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://pmajay.dosje.gov.in/content/income-generating-schemes,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-010,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://pmajay.dosje.gov.in/content/income-generating-schemes,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-010,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://pmajay.dosje.gov.in/content/income-generating-schemes,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-010,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://pmajay.dosje.gov.in/content/income-generating-schemes,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-011,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://www.myscheme.gov.in/schemes/tls-nmdfc,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-011,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://www.myscheme.gov.in/schemes/tls-nmdfc,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-011,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://www.myscheme.gov.in/schemes/tls-nmdfc,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-011,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://www.myscheme.gov.in/schemes/tls-nmdfc,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-012,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-012,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-012,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-012,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-013,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-013,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-013,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-013,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-014,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-014,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://nstfdc.tribal.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-014,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-014,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://nstfdc.tribal.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-015,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-015,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-015,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-015,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://nbcfdc.gov.in/nbcfdc/web/individual-loan-scheme,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-016,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://socialjustice.gov.in/schemes/13,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-016,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://socialjustice.gov.in/schemes/13,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-016,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://socialjustice.gov.in/schemes/13,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-016,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://socialjustice.gov.in/schemes/13,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-017,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://socialjustice.gov.in/schemes/13,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-017,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://socialjustice.gov.in/schemes/13,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-017,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://socialjustice.gov.in/schemes/13,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-017,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://socialjustice.gov.in/schemes/13,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-018,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://svep.nrlm.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-018,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://svep.nrlm.gov.in/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-018,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://svep.nrlm.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-018,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://svep.nrlm.gov.in/,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-019,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://seedfund.startupindia.gov.in/about,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-019,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://seedfund.startupindia.gov.in/about,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-019,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://seedfund.startupindia.gov.in/about,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-019,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://seedfund.startupindia.gov.in/about,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-020,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-020,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-020,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-020,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-021,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://myhandlooms.gov.in/Home/WeaverMudraLoan.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-021,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://myhandlooms.gov.in/Home/WeaverMudraLoan.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-021,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://myhandlooms.gov.in/Home/WeaverMudraLoan.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-021,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://myhandlooms.gov.in/Home/WeaverMudraLoan.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-022,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://myhandlooms.gov.in/Home/NHDP.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-022,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://myhandlooms.gov.in/Home/NHDP.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-022,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://myhandlooms.gov.in/Home/NHDP.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-022,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://myhandlooms.gov.in/Home/NHDP.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-023,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://sfurti.msme.gov.in/SFURTI/Home.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-023,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://sfurti.msme.gov.in/SFURTI/Home.aspx,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-023,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://sfurti.msme.gov.in/SFURTI/Home.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-023,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://sfurti.msme.gov.in/SFURTI/Home.aspx,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-024,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://my.msme.gov.in/ARI/ASPIRE,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-024,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://my.msme.gov.in/ARI/ASPIRE,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-024,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://my.msme.gov.in/ARI/ASPIRE,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-024,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://my.msme.gov.in/ARI/ASPIRE,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-025,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://www.myscheme.gov.in/schemes/pmmsy,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-025,priority,LEGACY_MIXED_OR_CONTAMINATED_VALUE,NOT_RETAINED,Priority contained inconsistent values/tags and is excluded from the cleaned master.,https://www.myscheme.gov.in/schemes/pmmsy,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
SIH26092-025,legacy field normalization,LEGACY_VALUE_OR_BLANK,UNKNOWN_OR_NORMALIZED_VALUE,Any field without an extracted authoritative basis was reset to UNKNOWN rather than inferred; structured target financial/eligibility fields were added.,https://www.myscheme.gov.in/schemes/pmmsy,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-025,verification_status,NOT_PRESENT,PARTIALLY_VERIFIED,"A source link exists, but this execution did not extract an authoritative rule table for every critical field.",https://www.myscheme.gov.in/schemes/pmmsy,Official URL carried from original dataset,WEB,PARTIALLY_VERIFIED
SIH26092-026,embedding_text,LEGACY_GENERATED_TEXT,NOT_RETAINED,Final embedding/search text intentionally removed until source verification is accepted.,https://www.pmindia.gov.in/en/news_updates/cabinet-approves-pradhan-mantri-matsya-kisan-samridhi-sah-yojana-pm-mkssy-a-central-sector-sub-scheme-under-the-pradhan-mantri-matsya-sampada-for-the-fisheries-sector-micro-and-small-enterprises/,Uploaded CSV; not an authoritative source,NOT_APPLICABLE,VERIFIED
