scheme_id,scheme_name,verification_status,source_count,critical_fields_verified,critical_fields_missing,conflicts_found,notes
SIH26092-038,Kisan Credit Card – Fisheries Working Capital,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-039,PMKSY – Integrated Cold Chain,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-040,PMKSY – Agro-Processing Cluster,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-041,Coir Udyami Yojana,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-042,Mahila Coir Yojana,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-043,TREAD for Women,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-044,Procurement and Marketing Support Scheme,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-045,NSIC Raw Material Assistance,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-046,MSME Innovative – Incubation,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-047,MSME Innovative – Design,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-048,MSME Innovative – IPR Facilitation,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-049,MSME Sustainable ZED,PARTIALLY_VERIFIED,1,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-050,MSE-CDP,PARTIALLY_VERIFIED,2,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-051,CGTMSE,PARTIALLY_VERIFIED,2,NONE,sc_required; target_groups; gender_condition; age_min; age_max; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; subsidy_percentage; grant_amount; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; collateral_required; application_mode; application_url,NONE,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.
SIH26092-052,NSFDC Micro Finance Scheme (MFS),VERIFIED,2,sc_required; target_groups; gender_condition; income_limit; state_restriction; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; application_mode; application_url,age_min; age_max; sector; subsidy_percentage; grant_amount; collateral_required,NONE,Income ceiling applies to NSFDC loan assistance; ELS repayment/moratorium is disbursement-condition dependent.
SIH26092-053,NSFDC Term Loan,VERIFIED,2,sc_required; target_groups; gender_condition; income_limit; state_restriction; sector; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; application_mode; application_url,age_min; age_max; subsidy_percentage; grant_amount; collateral_required,NONE,Income ceiling applies to NSFDC loan assistance; ELS repayment/moratorium is disbursement-condition dependent.
SIH26092-054,NSFDC Aajeevika Micro-Finance Yojana (AMY),VERIFIED,2,sc_required; target_groups; gender_condition; income_limit; state_restriction; activity_type; new_business_allowed; existing_business_allowed; max_project_cost; max_loan_amount; financing_percentage; beneficiary_contribution_percentage; interest_rate_min; interest_rate_max; repayment_period_max_months; repayment_frequency; moratorium_max_months; application_mode; application_url,age_min; age_max; sector; subsidy_percentage; grant_amount; collateral_required,NONE,Income ceiling applies to NSFDC loan assistance; ELS repayment/moratorium is disbursement-condition dependent.
